Country,No of MNCs,Unrelated party,Related party,Total,Profit (loss) before income tax,Income tax paid,Income tax accrued,Stated capital,Accumulated earnings,Number of employees,Tangible assets other than cash
Canada,958,333115410438,126748650610,459864061048,40102413725,6353190986,6113357939,339827241515,136070578492,852314,171538826740
Cayman Islands,208,13808409616,63898940354,77707349970,62369211278,60983238,314001942,287754426665,151390452187,1510,21158778606
Chile,252,25326990940,3644200400,28971191340,3760308958,629758521,573828672,40001503223,11482387834,112735,18079055732
Colombia,237,13167324688,3940824668,17108149356,1932214526,689463125,808363235,4804206433,5141458665,70173,7741839255
Costa Rica,135,5604373612,5611326902,11215700514,1708833339,174696952,154691451,2652959892,6363835873,82128,3348398601
Dominican Republic,77,1934450786,1928049085,3862499871,726666954,77254915,60629615,770539763,1331596364,32021,1466079037
Ecuador,85,3302183918,764604491,4066788409,499304891,92422820,109779959,906501362,253702210,7872,1136179088
El Salvador,67,2538273494,1155630450,3693903944,330816429,62665692,58609125,1214017057,501708540,27190,1136749314
Guatemala,94,4033176154,1067644136,5100820290,337727490,92870722,76470482,410434721,462951876,30347,1047395106
Honduras,45,2453307901,1175447549,3628755450,293441628,45351626,38814917,287791713,898016957,37256,779958987
Jamaica,25,324842931,122412866,447255797,61399178,16136189,13043706,115658041,122929153,7888,119612433
Mexico,626,116572707298,87357924512,203930631810,17726499309,5267263278,4738672316,83849763691,47183870150,1112216,65343424254
Panama,104,5197092345,3860873119,9057965464,937901818,88792960,76078758,2930107434,2545913244,12099,2974430300
Peru,158,8116455450,3863669336,11980124786,2116232227,344189837,743716653,5208922024,7503557311,30284,10930472805
Puerto Rico,221,8657544614,81848959131,90506503745,35236895793,481037423,505463333,24087228163,114200189874,53601,13421612408
Trinidad and Tobago,51,1306556487,795396057,2101952544,494636810,192969762,139451945,1270705440,2679731067,4579,872011854
Uruguay,87,2208238184,889275416,3097513600,672364934,49785099,55268543,1082713680,1449904694,6392,431359775
Venezuela,51,677036459,10875414,687911873,177777380,36373635,43678578,1050880198,-719656951,9111,370072470
Virgin Islands,34,253691618,32794374,286485992,23082081,3756352,2221017,201836377,155763997,1124,286763751
"Americas, other countries",223,6691198278,32189006068,38880204346,12821147404,98080255,294168819,273270007759,34218818918,20799,38067069847
Australia,611,103160690072,15653285482,118813975555,18135798459,2846192159,2777946510,187964226336,41726962721,225200,84238626421
Bahrain,35,1090735724,610445508,1701181232,247475759,5880119,5766259,899128993,-464367386,5438,419470715
Bangladesh,21,1224313414,26197641,1250511055,463379551,180584253,185480662,134985745,197508513,3163,1295260684
Burma,16,186633431,3781260,190414691,28433111,12036205,17837258,15412757,21928576,147,331296462
China,707,213660810446,137696624262,351357434708,28544379502,7006534754,6567574536,68110353343,60867481514,1145051,78557600939
Hong Kong,585,108548522894,51522350072,160070872966,13591285993,1272985970,1506230707,112201880478,72253475898,84670,19498058849
India,577,45416932302,39593783968,85010716271,13669021217,4635356306,4512135726,23801456324,34595308367,1263032,23892529080
Indonesia,159,16574708107,7030256482,23604964589,5754305383,1915518174,1505690729,19535620579,11779581845,73339,18695871101
